
========> The following is the setup for this run:

2021_7_29_16_3_54_data_fashionmnist_arch_conv6_init_kaimingn_GPUs_1_minib_60_opt_Adam_lr_0.0003_lrpolicy_constant_lr_ep_1

arch: conv6
pretrained: False
resume: 
dataname: fashionmnist
datapath: ./data/fashionmnist/
workers: 20
batch_size: 60
init_policy: kaimingn
init_kaiming_mode: fan_in
init_kaiming_nonlinearity: relu
init_bias: zero
optimizer: Adam
epochs: 1
initial_epoch: 0
label_smoothing: 0.0
weight_decay: 0.0
lr: 0.0003
lr_policy: constant_lr
warmup_length: 0
lr_gamma: 0.0
lr_steps: None
lowest_lr: 0.0001
scale_coslr: 1
exp_coslr: 1
normal_exp_scale: 1500
momentum: 0.0
nesterov: False
evaluate: False
print_freq_tr: 10
print_freq_ts: 10
config: fashionmnist_conv6_train
logterminal: True
save_stages: False
gpu_idx: ['0']
local_rank: 0
channels_last: False
lr_step: 0
distributed: False
world_size: 1

=> Global rank of the current node is 0 and the process id is 41293.
=> There are 1 process(es) runing on GPU(s).
=> Visible GPU(s) are ['0'] for running 1 process(es).
=> Execute `nvidia-smi` on a differnt terminal to see used GPUs.
=> GPU 0 whose id is 0 is being used for training of the current process.

=> The model, i.e., conv6, is being replicated on 1 processes.

Learning rate: 0.00030000 | Curr loss: 0.2940 | Avg loss: 0.7714 | Prec@1(avg) 73.84 % | Prec@5(avg) 97.12 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 200/1000] | Time(avg): 0.29 | Speed: (pics/sec):  2099
Learning rate: 0.00030000 | Curr loss: 0.3811 | Avg loss: 0.7580 | Prec@1(avg) 74.20 % | Prec@5(avg) 97.26 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 210/1000] | Time(avg): 0.28 | Speed: (pics/sec):  2129
Learning rate: 0.00030000 | Curr loss: 0.6955 | Avg loss: 0.7451 | Prec@1(avg) 74.60 % | Prec@5(avg) 97.39 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 220/1000] | Time(avg): 0.28 | Speed: (pics/sec):  2154
Learning rate: 0.00030000 | Curr loss: 0.5056 | Avg loss: 0.7326 | Prec@1(avg) 74.94 % | Prec@5(avg) 97.50 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 230/1000] | Time(avg): 0.28 | Speed: (pics/sec):  2179
Learning rate: 0.00030000 | Curr loss: 0.3528 | Avg loss: 0.7195 | Prec@1(avg) 75.37 % | Prec@5(avg) 97.58 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 240/1000] | Time(avg): 0.27 | Speed: (pics/sec):  2182
Learning rate: 0.00030000 | Curr loss: 0.3519 | Avg loss: 0.7086 | Prec@1(avg) 75.79 % | Prec@5(avg) 97.66 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 250/1000] | Time(avg): 0.27 | Speed: (pics/sec):  2195
Learning rate: 0.00030000 | Curr loss: 0.5541 | Avg loss: 0.6985 | Prec@1(avg) 76.09 % | Prec@5(avg) 97.75 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 260/1000] | Time(avg): 0.27 | Speed: (pics/sec):  2190
Learning rate: 0.00030000 | Curr loss: 0.4546 | Avg loss: 0.6887 | Prec@1(avg) 76.37 % | Prec@5(avg) 97.82 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 270/1000] | Time(avg): 0.27 | Speed: (pics/sec):  2202
Learning rate: 0.00030000 | Curr loss: 0.5020 | Avg loss: 0.6816 | Prec@1(avg) 76.56 % | Prec@5(avg) 97.89 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 280/1000] | Time(avg): 0.27 | Speed: (pics/sec):  2208
Learning rate: 0.00030000 | Curr loss: 0.4219 | Avg loss: 0.6740 | Prec@1(avg) 76.83 % | Prec@5(avg) 97.94 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 290/1000] | Time(avg): 0.28 | Speed: (pics/sec):  2169
Learning rate: 0.00030000 | Curr loss: 0.4377 | Avg loss: 0.6660 | Prec@1(avg) 77.09 % | Prec@5(avg) 98.01 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 300/1000] | Time(avg): 0.28 | Speed: (pics/sec):  2129
Learning rate: 0.00030000 | Curr loss: 0.3301 | Avg loss: 0.6551 | Prec@1(avg) 77.47 % | Prec@5(avg) 98.06 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 310/1000] | Time(avg): 0.28 | Speed: (pics/sec):  2128
Learning rate: 0.00030000 | Curr loss: 0.5356 | Avg loss: 0.6481 | Prec@1(avg) 77.64 % | Prec@5(avg) 98.12 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 320/1000] | Time(avg): 0.28 | Speed: (pics/sec):  2131
Learning rate: 0.00030000 | Curr loss: 0.4094 | Avg loss: 0.6410 | Prec@1(avg) 77.85 % | Prec@5(avg) 98.17 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 330/1000] | Time(avg): 0.28 | Speed: (pics/sec):  2118
Learning rate: 0.00030000 | Curr loss: 0.6253 | Avg loss: 0.6350 | Prec@1(avg) 77.96 % | Prec@5(avg) 98.22 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 340/1000] | Time(avg): 0.28 | Speed: (pics/sec):  2139
Learning rate: 0.00030000 | Curr loss: 0.7044 | Avg loss: 0.6287 | Prec@1(avg) 78.15 % | Prec@5(avg) 98.26 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 350/1000] | Time(avg): 0.28 | Speed: (pics/sec):  2134
Learning rate: 0.00030000 | Curr loss: 0.6807 | Avg loss: 0.6259 | Prec@1(avg) 78.20 % | Prec@5(avg) 98.30 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 360/1000] | Time(avg): 0.28 | Speed: (pics/sec):  2136
Learning rate: 0.00030000 | Curr loss: 0.3595 | Avg loss: 0.6196 | Prec@1(avg) 78.39 % | Prec@5(avg) 98.34 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 370/1000] | Time(avg): 0.28 | Speed: (pics/sec):  2147
Learning rate: 0.00030000 | Curr loss: 0.3700 | Avg loss: 0.6141 | Prec@1(avg) 78.53 % | Prec@5(avg) 98.37 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 380/1000] | Time(avg): 0.28 | Speed: (pics/sec):  2155
Learning rate: 0.00030000 | Curr loss: 0.2959 | Avg loss: 0.6081 | Prec@1(avg) 78.77 % | Prec@5(avg) 98.39 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 390/1000] | Time(avg): 0.28 | Speed: (pics/sec):  2151
