
========> The following is the setup for this run:

2021_7_29_1_47_29_data_mnist_arch_conv6_init_kaimingn_GPUs_1_minib_60_opt_Adam_lr_0.0003_lrpolicy_constant_lr_ep_1

arch: conv6
pretrained: False
resume: 
dataname: mnist
datapath: ./data/mnist/
workers: 20
batch_size: 60
init_policy: kaimingn
init_kaiming_mode: fan_in
init_kaiming_nonlinearity: relu
init_bias: zero
optimizer: Adam
epochs: 1
initial_epoch: 0
label_smoothing: 0.0
weight_decay: 0.0
lr: 0.0003
lr_policy: constant_lr
warmup_length: 0
lr_gamma: 0.0
lr_steps: None
lowest_lr: 0.0001
scale_coslr: 1
exp_coslr: 1
normal_exp_scale: 1500
momentum: 0.0
nesterov: False
evaluate: False
print_freq_tr: 10
print_freq_ts: 10
config: mnist_conv6_train
logterminal: True
save_stages: False
gpu_idx: ['0']
local_rank: 0
channels_last: False
lr_step: 0
distributed: False
world_size: 1

=> Global rank of the current node is 0 and the process id is 27806.
=> There are 1 process(es) runing on GPU(s).
=> Visible GPU(s) are ['0'] for running 1 process(es).
=> Execute `nvidia-smi` on a differnt terminal to see used GPUs.
=> GPU 0 whose id is 0 is being used for training of the current process.

=> The model, i.e., conv6, is being replicated on 1 processes.

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [  10/1000] | Time(avg): 0.85 | Speed: (pics/sec):   703
Learning rate: 0.00030000 | Curr loss: 2.7069 | Avg loss: 4.8107 | Prec@1(avg) 14.67 % | Prec@5(avg) 45.67 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [  20/1000] | Time(avg): 0.59 | Speed: (pics/sec):  1018
Learning rate: 0.00030000 | Curr loss: 1.5381 | Avg loss: 3.3644 | Prec@1(avg) 25.25 % | Prec@5(avg) 63.67 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [  30/1000] | Time(avg): 0.45 | Speed: (pics/sec):  1336
Learning rate: 0.00030000 | Curr loss: 1.0066 | Avg loss: 2.6505 | Prec@1(avg) 38.72 % | Prec@5(avg) 74.11 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [  40/1000] | Time(avg): 0.39 | Speed: (pics/sec):  1540
Learning rate: 0.00030000 | Curr loss: 0.8347 | Avg loss: 2.1549 | Prec@1(avg) 49.50 % | Prec@5(avg) 80.17 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [  50/1000] | Time(avg): 0.36 | Speed: (pics/sec):  1668
Learning rate: 0.00030000 | Curr loss: 0.4262 | Avg loss: 1.8127 | Prec@1(avg) 56.80 % | Prec@5(avg) 83.80 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [  60/1000] | Time(avg): 0.36 | Speed: (pics/sec):  1647
Learning rate: 0.00030000 | Curr loss: 0.2209 | Avg loss: 1.5566 | Prec@1(avg) 62.53 % | Prec@5(avg) 86.44 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [  70/1000] | Time(avg): 0.35 | Speed: (pics/sec):  1724
Learning rate: 0.00030000 | Curr loss: 0.1139 | Avg loss: 1.3717 | Prec@1(avg) 66.81 % | Prec@5(avg) 88.29 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [  80/1000] | Time(avg): 0.33 | Speed: (pics/sec):  1799
Learning rate: 0.00030000 | Curr loss: 0.3477 | Avg loss: 1.2367 | Prec@1(avg) 69.75 % | Prec@5(avg) 89.67 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [  90/1000] | Time(avg): 0.33 | Speed: (pics/sec):  1840
Learning rate: 0.00030000 | Curr loss: 0.2951 | Avg loss: 1.1265 | Prec@1(avg) 72.30 % | Prec@5(avg) 90.81 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 100/1000] | Time(avg): 0.32 | Speed: (pics/sec):  1902
Learning rate: 0.00030000 | Curr loss: 0.1979 | Avg loss: 1.0423 | Prec@1(avg) 74.05 % | Prec@5(avg) 91.67 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 110/1000] | Time(avg): 0.31 | Speed: (pics/sec):  1959
Learning rate: 0.00030000 | Curr loss: 0.3320 | Avg loss: 0.9679 | Prec@1(avg) 75.73 % | Prec@5(avg) 92.38 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 120/1000] | Time(avg): 0.30 | Speed: (pics/sec):  1977
Learning rate: 0.00030000 | Curr loss: 0.1504 | Avg loss: 0.9082 | Prec@1(avg) 76.96 % | Prec@5(avg) 93.00 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 130/1000] | Time(avg): 0.30 | Speed: (pics/sec):  2005
Learning rate: 0.00030000 | Curr loss: 0.1560 | Avg loss: 0.8548 | Prec@1(avg) 78.23 % | Prec@5(avg) 93.53 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 140/1000] | Time(avg): 0.30 | Speed: (pics/sec):  2027
Learning rate: 0.00030000 | Curr loss: 0.1771 | Avg loss: 0.8062 | Prec@1(avg) 79.30 % | Prec@5(avg) 93.98 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 150/1000] | Time(avg): 0.30 | Speed: (pics/sec):  2001
Learning rate: 0.00030000 | Curr loss: 0.1379 | Avg loss: 0.7628 | Prec@1(avg) 80.28 % | Prec@5(avg) 94.38 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 160/1000] | Time(avg): 0.30 | Speed: (pics/sec):  2030
Learning rate: 0.00030000 | Curr loss: 0.1993 | Avg loss: 0.7267 | Prec@1(avg) 81.10 % | Prec@5(avg) 94.71 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 170/1000] | Time(avg): 0.29 | Speed: (pics/sec):  2062
Learning rate: 0.00030000 | Curr loss: 0.0732 | Avg loss: 0.6944 | Prec@1(avg) 81.81 % | Prec@5(avg) 95.00 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 180/1000] | Time(avg): 0.29 | Speed: (pics/sec):  2053
Learning rate: 0.00030000 | Curr loss: 0.2587 | Avg loss: 0.6667 | Prec@1(avg) 82.50 % | Prec@5(avg) 95.26 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 190/1000] | Time(avg): 0.29 | Speed: (pics/sec):  2093
Learning rate: 0.00030000 | Curr loss: 0.1507 | Avg loss: 0.6400 | Prec@1(avg) 83.15 % | Prec@5(avg) 95.51 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 200/1000] | Time(avg): 0.29 | Speed: (pics/sec):  2090
Learning rate: 0.00030000 | Curr loss: 0.0559 | Avg loss: 0.6150 | Prec@1(avg) 83.76 % | Prec@5(avg) 95.72 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 210/1000] | Time(avg): 0.29 | Speed: (pics/sec):  2101
Learning rate: 0.00030000 | Curr loss: 0.1204 | Avg loss: 0.5915 | Prec@1(avg) 84.38 % | Prec@5(avg) 95.91 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 220/1000] | Time(avg): 0.28 | Speed: (pics/sec):  2113
Learning rate: 0.00030000 | Curr loss: 0.1375 | Avg loss: 0.5715 | Prec@1(avg) 84.89 % | Prec@5(avg) 96.10 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 230/1000] | Time(avg): 0.29 | Speed: (pics/sec):  2095
Learning rate: 0.00030000 | Curr loss: 0.0733 | Avg loss: 0.5526 | Prec@1(avg) 85.38 % | Prec@5(avg) 96.26 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 240/1000] | Time(avg): 0.29 | Speed: (pics/sec):  2039
Learning rate: 0.00030000 | Curr loss: 0.0137 | Avg loss: 0.5322 | Prec@1(avg) 85.89 % | Prec@5(avg) 96.42 %
