
========> The following is the setup for this run:

2021_8_6_19_35_42_data_cifar10_arch_resnet18_init_kaimingn_GPUs_1_minib_128_opt_SGD+M_lr_0.1_lrpolicy_constant_lr_ep_160

arch: resnet18
pretrained: False
resume: 
dataname: cifar10
datapath: ./data/cifar10/
workers: 20
batch_size: 128
init_policy: kaimingn
init_kaiming_mode: fan_in
init_kaiming_nonlinearity: relu
init_bias: zero
optimizer: SGD+M
epochs: 160
initial_epoch: 0
label_smoothing: 0.0
weight_decay: 0.0001
lr: 0.1
lr_policy: constant_lr
warmup_length: 0
lr_gamma: 0.1
lr_steps: [80, 120]
lowest_lr: 0.001
scale_coslr: 1.06
exp_coslr: 1
normal_exp_scale: 1500
momentum: 0.9
nesterov: False
evaluate: False
print_freq_tr: 10
print_freq_ts: 10
config: cifar10_resnet18_train
logterminal: True
save_stages: False
gpu_idx: ['2']
local_rank: 0
channels_last: False
distributed: False
world_size: 1

=> Global rank of the current node is 0 and the process id is 3625.
=> There are 1 process(es) runing on GPU(s).
=> Visible GPU(s) are ['2'] for running 1 process(es).
=> Execute `nvidia-smi` on a differnt terminal to see used GPUs.
=> GPU 2 whose id is 0 is being used for training of the current process.

Files already downloaded and verified
=> The model, i.e., resnet18, is being replicated on 1 processes.

Training: Num of GPUs: 1 | Epoch: [ 1/160] | [  10/ 391] | Time(avg): 1.67 | Speed: (pics/sec):   766
Learning rate: 0.1000 | Curr loss: 5.4696 | Avg loss: 6.1300 | Prec@1(avg) 11.09 % | Prec@5(avg) 48.36 %

Training: Num of GPUs: 1 | Epoch: [ 1/160] | [  20/ 391] | Time(avg): 1.02 | Speed: (pics/sec):  1252
Learning rate: 0.1000 | Curr loss: 2.9342 | Avg loss: 5.9261 | Prec@1(avg) 11.95 % | Prec@5(avg) 49.92 %

Training: Num of GPUs: 1 | Epoch: [ 1/160] | [  30/ 391] | Time(avg): 0.81 | Speed: (pics/sec):  1589
Learning rate: 0.1000 | Curr loss: 2.8197 | Avg loss: 5.1675 | Prec@1(avg) 12.40 % | Prec@5(avg) 52.55 %

Training: Num of GPUs: 1 | Epoch: [ 1/160] | [  40/ 391] | Time(avg): 0.70 | Speed: (pics/sec):  1828
Learning rate: 0.1000 | Curr loss: 4.0564 | Avg loss: 4.6333 | Prec@1(avg) 13.44 % | Prec@5(avg) 54.80 %

Training: Num of GPUs: 1 | Epoch: [ 1/160] | [  50/ 391] | Time(avg): 0.64 | Speed: (pics/sec):  2015
Learning rate: 0.1000 | Curr loss: 2.8660 | Avg loss: 4.3494 | Prec@1(avg) 14.30 % | Prec@5(avg) 57.53 %

Training: Num of GPUs: 1 | Epoch: [ 1/160] | [  60/ 391] | Time(avg): 0.59 | Speed: (pics/sec):  2159
Learning rate: 0.1000 | Curr loss: 2.2457 | Avg loss: 4.0737 | Prec@1(avg) 14.71 % | Prec@5(avg) 59.64 %

Training: Num of GPUs: 1 | Epoch: [ 1/160] | [  70/ 391] | Time(avg): 0.56 | Speed: (pics/sec):  2280
Learning rate: 0.1000 | Curr loss: 2.7954 | Avg loss: 3.8702 | Prec@1(avg) 14.85 % | Prec@5(avg) 61.06 %

Training: Num of GPUs: 1 | Epoch: [ 1/160] | [  80/ 391] | Time(avg): 0.54 | Speed: (pics/sec):  2376
Learning rate: 0.1000 | Curr loss: 2.2500 | Avg loss: 3.6895 | Prec@1(avg) 15.49 % | Prec@5(avg) 62.52 %

Training: Num of GPUs: 1 | Epoch: [ 1/160] | [  90/ 391] | Time(avg): 0.52 | Speed: (pics/sec):  2459
