
========> The following is the setup for this run:

2021_7_29_1_39_50_data_mnist_arch_conv4_init_kaimingn_GPUs_1_minib_60_opt_Adam_lr_0.0003_lrpolicy_constant_lr_ep_1

arch: conv4
pretrained: False
resume: 
dataname: mnist
datapath: ./data/mnist/
workers: 20
batch_size: 60
init_policy: kaimingn
init_kaiming_mode: fan_in
init_kaiming_nonlinearity: relu
init_bias: zero
optimizer: Adam
epochs: 1
initial_epoch: 0
label_smoothing: 0.0
weight_decay: 0.0
lr: 0.0003
lr_policy: constant_lr
warmup_length: 0
lr_gamma: 0.0
lr_steps: None
lowest_lr: 0.0001
scale_coslr: 1
exp_coslr: 1
normal_exp_scale: 1500
momentum: 0.0
nesterov: False
evaluate: False
print_freq_tr: 10
print_freq_ts: 10
config: mnist_conv4_train
logterminal: True
save_stages: False
gpu_idx: ['0']
local_rank: 0
channels_last: False
lr_step: 0
distributed: False
world_size: 1

=> Global rank of the current node is 0 and the process id is 26218.
=> There are 1 process(es) runing on GPU(s).
=> Visible GPU(s) are ['0'] for running 1 process(es).
=> Execute `nvidia-smi` on a differnt terminal to see used GPUs.
=> GPU 0 whose id is 0 is being used for training of the current process.

=> The model, i.e., conv4, is being replicated on 1 processes.

Learning rate: 0.00030000 | Curr loss: 0.1795 | Avg loss: 0.4825 | Prec@1(avg) 87.12 % | Prec@5(avg) 96.80 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 200/1000] | Time(avg): 0.26 | Speed: (pics/sec):  2297
Learning rate: 0.00030000 | Curr loss: 0.0311 | Avg loss: 0.4634 | Prec@1(avg) 87.59 % | Prec@5(avg) 96.96 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 210/1000] | Time(avg): 0.26 | Speed: (pics/sec):  2277
Learning rate: 0.00030000 | Curr loss: 0.1566 | Avg loss: 0.4474 | Prec@1(avg) 87.99 % | Prec@5(avg) 97.10 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 220/1000] | Time(avg): 0.26 | Speed: (pics/sec):  2295
Learning rate: 0.00030000 | Curr loss: 0.1627 | Avg loss: 0.4326 | Prec@1(avg) 88.37 % | Prec@5(avg) 97.23 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 230/1000] | Time(avg): 0.26 | Speed: (pics/sec):  2307
Learning rate: 0.00030000 | Curr loss: 0.1502 | Avg loss: 0.4198 | Prec@1(avg) 88.72 % | Prec@5(avg) 97.35 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 240/1000] | Time(avg): 0.26 | Speed: (pics/sec):  2324
Learning rate: 0.00030000 | Curr loss: 0.2273 | Avg loss: 0.4064 | Prec@1(avg) 89.08 % | Prec@5(avg) 97.46 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 250/1000] | Time(avg): 0.26 | Speed: (pics/sec):  2339
Learning rate: 0.00030000 | Curr loss: 0.0947 | Avg loss: 0.3962 | Prec@1(avg) 89.32 % | Prec@5(avg) 97.55 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 260/1000] | Time(avg): 0.25 | Speed: (pics/sec):  2359
Learning rate: 0.00030000 | Curr loss: 0.1519 | Avg loss: 0.3840 | Prec@1(avg) 89.66 % | Prec@5(avg) 97.64 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 270/1000] | Time(avg): 0.25 | Speed: (pics/sec):  2375
Learning rate: 0.00030000 | Curr loss: 0.1413 | Avg loss: 0.3734 | Prec@1(avg) 89.93 % | Prec@5(avg) 97.73 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 280/1000] | Time(avg): 0.25 | Speed: (pics/sec):  2370
Learning rate: 0.00030000 | Curr loss: 0.0605 | Avg loss: 0.3634 | Prec@1(avg) 90.19 % | Prec@5(avg) 97.81 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 290/1000] | Time(avg): 0.25 | Speed: (pics/sec):  2371
Learning rate: 0.00030000 | Curr loss: 0.1268 | Avg loss: 0.3538 | Prec@1(avg) 90.42 % | Prec@5(avg) 97.89 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 300/1000] | Time(avg): 0.25 | Speed: (pics/sec):  2387
Learning rate: 0.00030000 | Curr loss: 0.0992 | Avg loss: 0.3456 | Prec@1(avg) 90.63 % | Prec@5(avg) 97.96 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 310/1000] | Time(avg): 0.25 | Speed: (pics/sec):  2386
Learning rate: 0.00030000 | Curr loss: 0.1016 | Avg loss: 0.3374 | Prec@1(avg) 90.85 % | Prec@5(avg) 98.02 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 320/1000] | Time(avg): 0.25 | Speed: (pics/sec):  2393
Learning rate: 0.00030000 | Curr loss: 0.1255 | Avg loss: 0.3303 | Prec@1(avg) 91.04 % | Prec@5(avg) 98.08 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 330/1000] | Time(avg): 0.25 | Speed: (pics/sec):  2401
