
========> The following is the setup for this run:

2021_7_29_15_40_6_data_cifar10_arch_vgg13_init_kaimingn_GPUs_1_minib_128_opt_SGD+M_lr_0.05_lrpolicy_cosine_lr_ep_1

arch: vgg13
pretrained: False
resume: 
dataname: cifar10
datapath: ./data/cifar10/
workers: 20
batch_size: 128
init_policy: kaimingn
init_kaiming_mode: fan_in
init_kaiming_nonlinearity: relu
init_bias: zero
optimizer: SGD+M
epochs: 1
initial_epoch: 0
label_smoothing: 0.0
weight_decay: 0.0005
lr: 0.05
lr_policy: cosine_lr
warmup_length: 0
lr_gamma: 0.1
lr_steps: [80, 120]
lowest_lr: 0.0
scale_coslr: 1.02
exp_coslr: 1
normal_exp_scale: 1500
momentum: 0.9
nesterov: False
evaluate: False
print_freq_tr: 10
print_freq_ts: 10
config: cifar10_vgg13_train
logterminal: True
save_stages: False
gpu_idx: ['0']
local_rank: 0
channels_last: False
distributed: False
world_size: 1

=> Global rank of the current node is 0 and the process id is 37623.
=> There are 1 process(es) runing on GPU(s).
=> Visible GPU(s) are ['0'] for running 1 process(es).
=> Execute `nvidia-smi` on a differnt terminal to see used GPUs.
=> GPU 0 whose id is 0 is being used for training of the current process.

Files already downloaded and verified
=> The model, i.e., vgg13, is being replicated on 1 processes.

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [  10/ 391] | Time(avg): 1.59 | Speed: (pics/sec):   803
Learning rate: 0.05000000 | Curr loss: 8.1148 | Avg loss: 6.6192 | Prec@1(avg) 15.70 % | Prec@5(avg) 56.95 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [  20/ 391] | Time(avg): 0.98 | Speed: (pics/sec):  1310
Learning rate: 0.05000000 | Curr loss: 9.0982 | Avg loss: 7.3465 | Prec@1(avg) 13.05 % | Prec@5(avg) 52.81 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [  30/ 391] | Time(avg): 0.77 | Speed: (pics/sec):  1667
Learning rate: 0.05000000 | Curr loss: 3.9025 | Avg loss: 6.2370 | Prec@1(avg) 12.06 % | Prec@5(avg) 52.24 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [  40/ 391] | Time(avg): 0.66 | Speed: (pics/sec):  1935
Learning rate: 0.05000000 | Curr loss: 2.3148 | Avg loss: 5.3905 | Prec@1(avg) 11.58 % | Prec@5(avg) 51.86 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [  50/ 391] | Time(avg): 0.60 | Speed: (pics/sec):  2124
Learning rate: 0.05000000 | Curr loss: 2.2669 | Avg loss: 4.8102 | Prec@1(avg) 11.53 % | Prec@5(avg) 51.53 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [  60/ 391] | Time(avg): 0.56 | Speed: (pics/sec):  2286
Learning rate: 0.05000000 | Curr loss: 2.4654 | Avg loss: 4.4142 | Prec@1(avg) 11.46 % | Prec@5(avg) 51.78 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [  70/ 391] | Time(avg): 0.53 | Speed: (pics/sec):  2419
Learning rate: 0.05000000 | Curr loss: 2.3319 | Avg loss: 4.1247 | Prec@1(avg) 11.22 % | Prec@5(avg) 51.69 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [  80/ 391] | Time(avg): 0.52 | Speed: (pics/sec):  2485
Learning rate: 0.05000000 | Curr loss: 2.3208 | Avg loss: 3.9033 | Prec@1(avg) 11.10 % | Prec@5(avg) 51.50 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [  90/ 391] | Time(avg): 0.50 | Speed: (pics/sec):  2581
Learning rate: 0.05000000 | Curr loss: 2.3365 | Avg loss: 3.7316 | Prec@1(avg) 10.86 % | Prec@5(avg) 51.55 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 100/ 391] | Time(avg): 0.48 | Speed: (pics/sec):  2645
Learning rate: 0.05000000 | Curr loss: 2.3538 | Avg loss: 3.5915 | Prec@1(avg) 10.77 % | Prec@5(avg) 51.53 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 110/ 391] | Time(avg): 0.47 | Speed: (pics/sec):  2716
Learning rate: 0.05000000 | Curr loss: 2.3769 | Avg loss: 3.4783 | Prec@1(avg) 10.72 % | Prec@5(avg) 51.38 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 120/ 391] | Time(avg): 0.46 | Speed: (pics/sec):  2770
Learning rate: 0.05000000 | Curr loss: 2.3282 | Avg loss: 3.3832 | Prec@1(avg) 10.74 % | Prec@5(avg) 51.38 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 130/ 391] | Time(avg): 0.45 | Speed: (pics/sec):  2824
Learning rate: 0.05000000 | Curr loss: 2.3555 | Avg loss: 3.3023 | Prec@1(avg) 10.63 % | Prec@5(avg) 51.54 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 140/ 391] | Time(avg): 0.45 | Speed: (pics/sec):  2874
Learning rate: 0.05000000 | Curr loss: 2.3762 | Avg loss: 3.2317 | Prec@1(avg) 10.64 % | Prec@5(avg) 51.61 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 150/ 391] | Time(avg): 0.44 | Speed: (pics/sec):  2918
Learning rate: 0.05000000 | Curr loss: 2.2988 | Avg loss: 3.1709 | Prec@1(avg) 10.60 % | Prec@5(avg) 51.56 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 160/ 391] | Time(avg): 0.43 | Speed: (pics/sec):  2957
Learning rate: 0.05000000 | Curr loss: 2.3849 | Avg loss: 3.1183 | Prec@1(avg) 10.62 % | Prec@5(avg) 51.64 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 170/ 391] | Time(avg): 0.43 | Speed: (pics/sec):  2991
Learning rate: 0.05000000 | Curr loss: 2.3377 | Avg loss: 3.0705 | Prec@1(avg) 10.65 % | Prec@5(avg) 51.74 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 180/ 391] | Time(avg): 0.42 | Speed: (pics/sec):  3022
Learning rate: 0.05000000 | Curr loss: 2.3565 | Avg loss: 3.0282 | Prec@1(avg) 10.67 % | Prec@5(avg) 51.89 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 190/ 391] | Time(avg): 0.42 | Speed: (pics/sec):  3034
Learning rate: 0.05000000 | Curr loss: 2.3466 | Avg loss: 2.9903 | Prec@1(avg) 10.75 % | Prec@5(avg) 51.89 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 200/ 391] | Time(avg): 0.42 | Speed: (pics/sec):  3061
Learning rate: 0.05000000 | Curr loss: 2.3341 | Avg loss: 2.9564 | Prec@1(avg) 10.84 % | Prec@5(avg) 51.84 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 210/ 391] | Time(avg): 0.41 | Speed: (pics/sec):  3085
Learning rate: 0.05000000 | Curr loss: 2.2898 | Avg loss: 2.9254 | Prec@1(avg) 10.82 % | Prec@5(avg) 51.90 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 220/ 391] | Time(avg): 0.41 | Speed: (pics/sec):  3107
Learning rate: 0.05000000 | Curr loss: 2.2802 | Avg loss: 2.8973 | Prec@1(avg) 10.81 % | Prec@5(avg) 51.94 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 230/ 391] | Time(avg): 0.41 | Speed: (pics/sec):  3106
Learning rate: 0.05000000 | Curr loss: 2.2655 | Avg loss: 2.8715 | Prec@1(avg) 10.85 % | Prec@5(avg) 51.96 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 240/ 391] | Time(avg): 0.41 | Speed: (pics/sec):  3098
Learning rate: 0.05000000 | Curr loss: 2.2927 | Avg loss: 2.8479 | Prec@1(avg) 10.85 % | Prec@5(avg) 51.95 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 250/ 391] | Time(avg): 0.41 | Speed: (pics/sec):  3119
Learning rate: 0.05000000 | Curr loss: 2.2891 | Avg loss: 2.8257 | Prec@1(avg) 10.84 % | Prec@5(avg) 52.04 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 260/ 391] | Time(avg): 0.41 | Speed: (pics/sec):  3138
Learning rate: 0.05000000 | Curr loss: 2.3106 | Avg loss: 2.8055 | Prec@1(avg) 10.85 % | Prec@5(avg) 52.07 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 270/ 391] | Time(avg): 0.41 | Speed: (pics/sec):  3155
Learning rate: 0.05000000 | Curr loss: 2.3052 | Avg loss: 2.7870 | Prec@1(avg) 10.84 % | Prec@5(avg) 52.09 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 280/ 391] | Time(avg): 0.40 | Speed: (pics/sec):  3172
Learning rate: 0.05000000 | Curr loss: 2.3370 | Avg loss: 2.7697 | Prec@1(avg) 10.85 % | Prec@5(avg) 52.10 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 290/ 391] | Time(avg): 0.40 | Speed: (pics/sec):  3187
Learning rate: 0.05000000 | Curr loss: 2.3053 | Avg loss: 2.7533 | Prec@1(avg) 10.86 % | Prec@5(avg) 52.12 %

