
========> The following is the setup for this run:

2021_7_29_18_21_28_data_imagenet_arch_resnet34_init_kaimingn_GPUs_5_minib_205_opt_SGD+M_lr_0.35_lrpolicy_cosine_lr_ep_1

arch: resnet34
pretrained: False
resume: 
dataname: imagenet
datapath: /datasets/imagenet/
workers: 20
batch_size: 205
init_policy: kaimingn
init_kaiming_mode: fan_in
init_kaiming_nonlinearity: relu
init_bias: zero
optimizer: SGD+M
epochs: 1
initial_epoch: 0
label_smoothing: 0.0
weight_decay: 0.0001
lr: 0.35
lr_policy: cosine_lr
warmup_length: 0
lr_gamma: 0.1
lr_steps: [30, 60, 80]
lowest_lr: 0.0
scale_coslr: 1.04
exp_coslr: 1
normal_exp_scale: 1500
momentum: 0.9
nesterov: False
evaluate: False
print_freq_tr: 10
print_freq_ts: 10
config: imagenet_resnet34_train
logterminal: True
save_stages: False
gpu_idx: ['3', '4', '5', '6', '7']
local_rank: 0
channels_last: False
distributed: True
world_size: 5

=> Global rank of the current node is 0 and the process id is 44399.
=> There are 5 process(es) runing on GPU(s).
=> Visible GPU(s) are ['3', '4', '5', '6', '7'] for running 5 process(es).
=> Execute `nvidia-smi` on a differnt terminal to see used GPUs.
=> GPU 3 whose id is 0 is being used for training of the current process.

=> The model, i.e., resnet34, is being replicated on 5 processes.

Training: Num of GPUs: 5 | Epoch: [ 1/ 1] | [ 190/1250] | Time(avg): 5.13 | Speed: (pics/sec):  1999
Learning rate: 0.35000000 | Curr loss: 6.7715 | Avg loss: 7.0530 | Prec@1(avg) 0.18 % | Prec@5(avg) 0.88 %

Training: Num of GPUs: 5 | Epoch: [ 1/ 1] | [ 200/1250] | Time(avg): 5.13 | Speed: (pics/sec):  1999
Learning rate: 0.35000000 | Curr loss: 6.7706 | Avg loss: 7.0386 | Prec@1(avg) 0.20 % | Prec@5(avg) 0.91 %

Training: Num of GPUs: 5 | Epoch: [ 1/ 1] | [ 210/1250] | Time(avg): 5.13 | Speed: (pics/sec):  1999
Learning rate: 0.35000000 | Curr loss: 6.7579 | Avg loss: 7.0252 | Prec@1(avg) 0.21 % | Prec@5(avg) 0.94 %

Training: Num of GPUs: 5 | Epoch: [ 1/ 1] | [ 220/1250] | Time(avg): 5.13 | Speed: (pics/sec):  2000
Learning rate: 0.35000000 | Curr loss: 6.7215 | Avg loss: 7.0123 | Prec@1(avg) 0.21 % | Prec@5(avg) 0.97 %

Training: Num of GPUs: 5 | Epoch: [ 1/ 1] | [ 230/1250] | Time(avg): 5.12 | Speed: (pics/sec):  2001
Learning rate: 0.35000000 | Curr loss: 6.6983 | Avg loss: 6.9998 | Prec@1(avg) 0.22 % | Prec@5(avg) 1.00 %

Training: Num of GPUs: 5 | Epoch: [ 1/ 1] | [ 240/1250] | Time(avg): 5.12 | Speed: (pics/sec):  2001
Learning rate: 0.35000000 | Curr loss: 6.6961 | Avg loss: 6.9879 | Prec@1(avg) 0.23 % | Prec@5(avg) 1.03 %

Training: Num of GPUs: 5 | Epoch: [ 1/ 1] | [ 250/1250] | Time(avg): 5.13 | Speed: (pics/sec):  1998
Learning rate: 0.35000000 | Curr loss: 6.6822 | Avg loss: 6.9764 | Prec@1(avg) 0.24 % | Prec@5(avg) 1.07 %

Training: Num of GPUs: 5 | Epoch: [ 1/ 1] | [ 260/1250] | Time(avg): 5.13 | Speed: (pics/sec):  1998
Learning rate: 0.35000000 | Curr loss: 6.6369 | Avg loss: 6.9651 | Prec@1(avg) 0.25 % | Prec@5(avg) 1.11 %

Training: Num of GPUs: 5 | Epoch: [ 1/ 1] | [ 270/1250] | Time(avg): 5.13 | Speed: (pics/sec):  2000
Learning rate: 0.35000000 | Curr loss: 6.6538 | Avg loss: 6.9535 | Prec@1(avg) 0.26 % | Prec@5(avg) 1.16 %

Training: Num of GPUs: 5 | Epoch: [ 1/ 1] | [ 280/1250] | Time(avg): 5.12 | Speed: (pics/sec):  2001
Learning rate: 0.35000000 | Curr loss: 6.6187 | Avg loss: 6.9421 | Prec@1(avg) 0.27 % | Prec@5(avg) 1.20 %

Training: Num of GPUs: 5 | Epoch: [ 1/ 1] | [ 290/1250] | Time(avg): 5.12 | Speed: (pics/sec):  2003
Learning rate: 0.35000000 | Curr loss: 6.5729 | Avg loss: 6.9305 | Prec@1(avg) 0.28 % | Prec@5(avg) 1.26 %

Training: Num of GPUs: 5 | Epoch: [ 1/ 1] | [ 300/1250] | Time(avg): 5.12 | Speed: (pics/sec):  2003
Learning rate: 0.35000000 | Curr loss: 6.5862 | Avg loss: 6.9192 | Prec@1(avg) 0.29 % | Prec@5(avg) 1.30 %

Training: Num of GPUs: 5 | Epoch: [ 1/ 1] | [ 310/1250] | Time(avg): 5.12 | Speed: (pics/sec):  2003
Learning rate: 0.35000000 | Curr loss: 6.5769 | Avg loss: 6.9078 | Prec@1(avg) 0.30 % | Prec@5(avg) 1.35 %

Training: Num of GPUs: 5 | Epoch: [ 1/ 1] | [ 320/1250] | Time(avg): 5.11 | Speed: (pics/sec):  2004
Learning rate: 0.35000000 | Curr loss: 6.5592 | Avg loss: 6.8964 | Prec@1(avg) 0.32 % | Prec@5(avg) 1.41 %

Training: Num of GPUs: 5 | Epoch: [ 1/ 1] | [ 330/1250] | Time(avg): 5.11 | Speed: (pics/sec):  2004
Learning rate: 0.35000000 | Curr loss: 6.5331 | Avg loss: 6.8851 | Prec@1(avg) 0.33 % | Prec@5(avg) 1.47 %

Training: Num of GPUs: 5 | Epoch: [ 1/ 1] | [ 340/1250] | Time(avg): 5.12 | Speed: (pics/sec):  2001
Learning rate: 0.35000000 | Curr loss: 6.4841 | Avg loss: 6.8733 | Prec@1(avg) 0.35 % | Prec@5(avg) 1.54 %

Training: Num of GPUs: 5 | Epoch: [ 1/ 1] | [ 350/1250] | Time(avg): 5.12 | Speed: (pics/sec):  2001
Learning rate: 0.35000000 | Curr loss: 6.4797 | Avg loss: 6.8618 | Prec@1(avg) 0.38 % | Prec@5(avg) 1.61 %

Training: Num of GPUs: 5 | Epoch: [ 1/ 1] | [ 360/1250] | Time(avg): 5.12 | Speed: (pics/sec):  2001
Learning rate: 0.35000000 | Curr loss: 6.4650 | Avg loss: 6.8511 | Prec@1(avg) 0.39 % | Prec@5(avg) 1.67 %

Training: Num of GPUs: 5 | Epoch: [ 1/ 1] | [ 370/1250] | Time(avg): 5.12 | Speed: (pics/sec):  2002
Learning rate: 0.35000000 | Curr loss: 6.4207 | Avg loss: 6.8400 | Prec@1(avg) 0.41 % | Prec@5(avg) 1.73 %

Training: Num of GPUs: 5 | Epoch: [ 1/ 1] | [ 380/1250] | Time(avg): 5.12 | Speed: (pics/sec):  2002
Learning rate: 0.35000000 | Curr loss: 6.3916 | Avg loss: 6.8289 | Prec@1(avg) 0.43 % | Prec@5(avg) 1.80 %

Training: Num of GPUs: 5 | Epoch: [ 1/ 1] | [ 390/1250] | Time(avg): 5.12 | Speed: (pics/sec):  2003
Learning rate: 0.35000000 | Curr loss: 6.4024 | Avg loss: 6.8179 | Prec@1(avg) 0.45 % | Prec@5(avg) 1.86 %

Training: Num of GPUs: 5 | Epoch: [ 1/ 1] | [ 400/1250] | Time(avg): 5.12 | Speed: (pics/sec):  2003
Learning rate: 0.35000000 | Curr loss: 6.3142 | Avg loss: 6.8067 | Prec@1(avg) 0.46 % | Prec@5(avg) 1.92 %

Training: Num of GPUs: 5 | Epoch: [ 1/ 1] | [ 410/1250] | Time(avg): 5.12 | Speed: (pics/sec):  2002
Learning rate: 0.35000000 | Curr loss: 6.2904 | Avg loss: 6.7950 | Prec@1(avg) 0.49 % | Prec@5(avg) 2.00 %

Training: Num of GPUs: 5 | Epoch: [ 1/ 1] | [ 420/1250] | Time(avg): 5.12 | Speed: (pics/sec):  2003
Learning rate: 0.35000000 | Curr loss: 6.3303 | Avg loss: 6.7841 | Prec@1(avg) 0.51 % | Prec@5(avg) 2.08 %

Training: Num of GPUs: 5 | Epoch: [ 1/ 1] | [ 430/1250] | Time(avg): 5.12 | Speed: (pics/sec):  2003
Learning rate: 0.35000000 | Curr loss: 6.4246 | Avg loss: 6.7729 | Prec@1(avg) 0.53 % | Prec@5(avg) 2.15 %

Training: Num of GPUs: 5 | Epoch: [ 1/ 1] | [ 440/1250] | Time(avg): 5.12 | Speed: (pics/sec):  2003
Learning rate: 0.35000000 | Curr loss: 6.1920 | Avg loss: 6.7618 | Prec@1(avg) 0.55 % | Prec@5(avg) 2.23 %

Training: Num of GPUs: 5 | Epoch: [ 1/ 1] | [ 450/1250] | Time(avg): 5.12 | Speed: (pics/sec):  2003
Learning rate: 0.35000000 | Curr loss: 6.2623 | Avg loss: 6.7508 | Prec@1(avg) 0.57 % | Prec@5(avg) 2.30 %

