
========> The following is the setup for this run:

2021_7_30_23_7_53_data_imagenet_arch_resnet50_init_kaimingn_GPUs_4_minib_205_opt_SGD+M_lr_0.35_lrpolicy_cosine_lr_ep_1

arch: resnet50
pretrained: False
resume: 
dataname: imagenet
datapath: /datasets/imagenet/
workers: 20
batch_size: 205
init_policy: kaimingn
init_kaiming_mode: fan_in
init_kaiming_nonlinearity: relu
init_bias: zero
optimizer: SGD+M
epochs: 1
initial_epoch: 0
label_smoothing: 0.0
weight_decay: 0.0001
lr: 0.35
lr_policy: cosine_lr
warmup_length: 0
lr_gamma: 0.1
lr_steps: [30, 60, 80]
lowest_lr: 0.0
scale_coslr: 1.02
exp_coslr: 1
normal_exp_scale: 1500
momentum: 0.9
nesterov: False
evaluate: False
print_freq_tr: 10
print_freq_ts: 10
config: imagenet_resnet50_train
logterminal: True
save_stages: False
gpu_idx: ['4', '5', '6', '7']
local_rank: 0
channels_last: False
distributed: True
world_size: 4

=> Global rank of the current node is 0 and the process id is 10292.
=> There are 4 process(es) runing on GPU(s).
=> Visible GPU(s) are ['4', '5', '6', '7'] for running 4 process(es).
=> Execute `nvidia-smi` on a differnt terminal to see used GPUs.
=> GPU 4 whose id is 0 is being used for training of the current process.

=> The model, i.e., resnet50, is being replicated on 4 processes.

Training: Num of GPUs: 4 | Epoch: [ 1/ 1] | [  10/1563] | Time(avg): 15.94 | Speed: (pics/sec):   514
Learning rate: 0.3500 | Curr loss: 10.7179 | Avg loss: 10.6727 | Prec@1(avg) 0.11 % | Prec@5(avg) 0.48 %

Training: Num of GPUs: 4 | Epoch: [ 1/ 1] | [  20/1563] | Time(avg): 12.37 | Speed: (pics/sec):   663
Learning rate: 0.3500 | Curr loss: 11.0734 | Avg loss: 10.4558 | Prec@1(avg) 0.12 % | Prec@5(avg) 0.44 %

Training: Num of GPUs: 4 | Epoch: [ 1/ 1] | [  30/1563] | Time(avg): 11.20 | Speed: (pics/sec):   732
Learning rate: 0.3500 | Curr loss: 7.4669 | Avg loss: 9.5787 | Prec@1(avg) 0.11 % | Prec@5(avg) 0.50 %

Training: Num of GPUs: 4 | Epoch: [ 1/ 1] | [  40/1563] | Time(avg): 10.62 | Speed: (pics/sec):   772
Learning rate: 0.3500 | Curr loss: 7.5975 | Avg loss: 9.0854 | Prec@1(avg) 0.10 % | Prec@5(avg) 0.52 %

Training: Num of GPUs: 4 | Epoch: [ 1/ 1] | [  50/1563] | Time(avg): 10.27 | Speed: (pics/sec):   798
Learning rate: 0.3500 | Curr loss: 7.0070 | Avg loss: 8.7032 | Prec@1(avg) 0.10 % | Prec@5(avg) 0.52 %

Training: Num of GPUs: 4 | Epoch: [ 1/ 1] | [  60/1563] | Time(avg): 10.05 | Speed: (pics/sec):   816
Learning rate: 0.3500 | Curr loss: 6.9704 | Avg loss: 8.4273 | Prec@1(avg) 0.11 % | Prec@5(avg) 0.54 %

Training: Num of GPUs: 4 | Epoch: [ 1/ 1] | [  70/1563] | Time(avg): 9.89 | Speed: (pics/sec):   829
Learning rate: 0.3500 | Curr loss: 6.9691 | Avg loss: 8.2224 | Prec@1(avg) 0.11 % | Prec@5(avg) 0.54 %

Training: Num of GPUs: 4 | Epoch: [ 1/ 1] | [  80/1563] | Time(avg): 9.77 | Speed: (pics/sec):   839
Learning rate: 0.3500 | Curr loss: 6.9303 | Avg loss: 8.0619 | Prec@1(avg) 0.11 % | Prec@5(avg) 0.53 %

Training: Num of GPUs: 4 | Epoch: [ 1/ 1] | [  90/1563] | Time(avg): 9.69 | Speed: (pics/sec):   846
Learning rate: 0.3500 | Curr loss: 6.9163 | Avg loss: 7.9378 | Prec@1(avg) 0.12 % | Prec@5(avg) 0.54 %

Training: Num of GPUs: 4 | Epoch: [ 1/ 1] | [ 100/1563] | Time(avg): 9.66 | Speed: (pics/sec):   849
Learning rate: 0.3500 | Curr loss: 6.9147 | Avg loss: 7.8351 | Prec@1(avg) 0.11 % | Prec@5(avg) 0.53 %

Training: Num of GPUs: 4 | Epoch: [ 1/ 1] | [ 110/1563] | Time(avg): 9.63 | Speed: (pics/sec):   852
Learning rate: 0.3500 | Curr loss: 6.9041 | Avg loss: 7.7512 | Prec@1(avg) 0.11 % | Prec@5(avg) 0.53 %

Training: Num of GPUs: 4 | Epoch: [ 1/ 1] | [ 120/1563] | Time(avg): 9.64 | Speed: (pics/sec):   850
Learning rate: 0.3500 | Curr loss: 6.9128 | Avg loss: 7.6821 | Prec@1(avg) 0.11 % | Prec@5(avg) 0.54 %

Training: Num of GPUs: 4 | Epoch: [ 1/ 1] | [ 130/1563] | Time(avg): 9.64 | Speed: (pics/sec):   851
Learning rate: 0.3500 | Curr loss: 6.9129 | Avg loss: 7.6244 | Prec@1(avg) 0.11 % | Prec@5(avg) 0.55 %

Training: Num of GPUs: 4 | Epoch: [ 1/ 1] | [ 140/1563] | Time(avg): 9.63 | Speed: (pics/sec):   852
Learning rate: 0.3500 | Curr loss: 6.9084 | Avg loss: 7.5741 | Prec@1(avg) 0.12 % | Prec@5(avg) 0.55 %

Training: Num of GPUs: 4 | Epoch: [ 1/ 1] | [ 150/1563] | Time(avg): 9.63 | Speed: (pics/sec):   852
Learning rate: 0.3500 | Curr loss: 6.9040 | Avg loss: 7.5295 | Prec@1(avg) 0.12 % | Prec@5(avg) 0.55 %

Training: Num of GPUs: 4 | Epoch: [ 1/ 1] | [ 160/1563] | Time(avg): 9.63 | Speed: (pics/sec):   851
Learning rate: 0.3500 | Curr loss: 6.8997 | Avg loss: 7.4904 | Prec@1(avg) 0.12 % | Prec@5(avg) 0.57 %

Training: Num of GPUs: 4 | Epoch: [ 1/ 1] | [ 170/1563] | Time(avg): 9.63 | Speed: (pics/sec):   852
Learning rate: 0.3500 | Curr loss: 6.9746 | Avg loss: 7.4566 | Prec@1(avg) 0.12 % | Prec@5(avg) 0.57 %

Training: Num of GPUs: 4 | Epoch: [ 1/ 1] | [ 180/1563] | Time(avg): 9.64 | Speed: (pics/sec):   851
Learning rate: 0.3500 | Curr loss: 6.8990 | Avg loss: 7.4260 | Prec@1(avg) 0.12 % | Prec@5(avg) 0.57 %

Training: Num of GPUs: 4 | Epoch: [ 1/ 1] | [ 190/1563] | Time(avg): 9.64 | Speed: (pics/sec):   851
Learning rate: 0.3500 | Curr loss: 6.9194 | Avg loss: 7.3984 | Prec@1(avg) 0.13 % | Prec@5(avg) 0.59 %

Training: Num of GPUs: 4 | Epoch: [ 1/ 1] | [ 200/1563] | Time(avg): 9.63 | Speed: (pics/sec):   851
Learning rate: 0.3500 | Curr loss: 6.8969 | Avg loss: 7.3734 | Prec@1(avg) 0.13 % | Prec@5(avg) 0.59 %

Training: Num of GPUs: 4 | Epoch: [ 1/ 1] | [ 210/1563] | Time(avg): 9.62 | Speed: (pics/sec):   852
Learning rate: 0.3500 | Curr loss: 6.9011 | Avg loss: 7.3504 | Prec@1(avg) 0.13 % | Prec@5(avg) 0.60 %

