
========> The following is the setup for this run:

2021_8_2_19_49_57_data_imagenet_arch_resnet50_init_kaimingn_GPUs_4_minib_205_opt_SGD+M_lr_0.35_lrpolicy_cosine_lr_ep_90

arch: resnet50
pretrained: False
resume: 
dataname: imagenet
datapath: /datasets/imagenet/
workers: 20
batch_size: 205
init_policy: kaimingn
init_kaiming_mode: fan_in
init_kaiming_nonlinearity: relu
init_bias: zero
optimizer: SGD+M
epochs: 90
initial_epoch: 0
label_smoothing: 0.0
weight_decay: 0.0001
lr: 0.35
lr_policy: cosine_lr
warmup_length: 0
lr_gamma: 0.1
lr_steps: [30, 60, 80]
lowest_lr: 0.0
scale_coslr: 1.02
exp_coslr: 1
normal_exp_scale: 1500
momentum: 0.9
nesterov: False
evaluate: False
print_freq_tr: 10
print_freq_ts: 10
config: imagenet_resnet50_train
logterminal: True
save_stages: False
gpu_idx: ['0', '1', '2', '3']
local_rank: 0
channels_last: False
distributed: True
world_size: 4

=> Global rank of the current node is 0 and the process id is 48838.
=> There are 4 process(es) runing on GPU(s).
=> Visible GPU(s) are ['0', '1', '2', '3'] for running 4 process(es).
=> Execute `nvidia-smi` on a differnt terminal to see used GPUs.
=> GPU 0 whose id is 0 is being used for training of the current process.

=> The model, i.e., resnet50, is being replicated on 4 processes.

Learning rate: 0.3500 | Curr loss: 6.8702 | Avg loss: 7.5704 | Prec@1(avg) 0.14 % | Prec@5(avg) 0.67 %

Training: Num of GPUs: 4 | Epoch: [ 1/90] | [ 200/1563] | Time(avg): 9.62 | Speed: (pics/sec):   852
Learning rate: 0.3500 | Curr loss: 6.8795 | Avg loss: 7.5354 | Prec@1(avg) 0.14 % | Prec@5(avg) 0.68 %

Training: Num of GPUs: 4 | Epoch: [ 1/90] | [ 210/1563] | Time(avg): 9.61 | Speed: (pics/sec):   853
Learning rate: 0.3500 | Curr loss: 6.8445 | Avg loss: 7.5032 | Prec@1(avg) 0.14 % | Prec@5(avg) 0.69 %

Training: Num of GPUs: 4 | Epoch: [ 1/90] | [ 220/1563] | Time(avg): 9.61 | Speed: (pics/sec):   853
Learning rate: 0.3500 | Curr loss: 6.8389 | Avg loss: 7.4740 | Prec@1(avg) 0.14 % | Prec@5(avg) 0.70 %

Training: Num of GPUs: 4 | Epoch: [ 1/90] | [ 230/1563] | Time(avg): 9.61 | Speed: (pics/sec):   853
Learning rate: 0.3500 | Curr loss: 6.8316 | Avg loss: 7.4467 | Prec@1(avg) 0.15 % | Prec@5(avg) 0.72 %

Training: Num of GPUs: 4 | Epoch: [ 1/90] | [ 240/1563] | Time(avg): 9.61 | Speed: (pics/sec):   853
Learning rate: 0.3500 | Curr loss: 6.7998 | Avg loss: 7.4211 | Prec@1(avg) 0.15 % | Prec@5(avg) 0.74 %

Training: Num of GPUs: 4 | Epoch: [ 1/90] | [ 250/1563] | Time(avg): 9.61 | Speed: (pics/sec):   853
Learning rate: 0.3500 | Curr loss: 6.8395 | Avg loss: 7.3971 | Prec@1(avg) 0.15 % | Prec@5(avg) 0.75 %

Training: Num of GPUs: 4 | Epoch: [ 1/90] | [ 260/1563] | Time(avg): 9.61 | Speed: (pics/sec):   853
