
========> The following is the setup for this run:

2021_7_29_1_51_14_data_mnist_arch_conv6a_init_kaimingn_GPUs_1_minib_60_opt_Adam_lr_0.0003_lrpolicy_constant_lr_ep_1

arch: conv6a
pretrained: False
resume: 
dataname: mnist
datapath: ./data/mnist/
workers: 20
batch_size: 60
init_policy: kaimingn
init_kaiming_mode: fan_in
init_kaiming_nonlinearity: relu
init_bias: zero
optimizer: Adam
epochs: 1
initial_epoch: 0
label_smoothing: 0.0
weight_decay: 0.0
lr: 0.0003
lr_policy: constant_lr
warmup_length: 0
lr_gamma: 0.0
lr_steps: None
lowest_lr: 0.0001
scale_coslr: 1
exp_coslr: 1
normal_exp_scale: 1500
momentum: 0.0
nesterov: False
evaluate: False
print_freq_tr: 10
print_freq_ts: 10
config: mnist_conv6a_train
logterminal: True
save_stages: False
gpu_idx: ['7']
local_rank: 0
channels_last: False
lr_step: 0
distributed: False
world_size: 1

=> Global rank of the current node is 0 and the process id is 28400.
=> There are 1 process(es) runing on GPU(s).
=> Visible GPU(s) are ['7'] for running 1 process(es).
=> Execute `nvidia-smi` on a differnt terminal to see used GPUs.
=> GPU 7 whose id is 0 is being used for training of the current process.

=> The model, i.e., conv6a, is being replicated on 1 processes.

Learning rate: 0.00030000 | Curr loss: 0.0597 | Avg loss: 0.9059 | Prec@1(avg) 74.54 % | Prec@5(avg) 92.65 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 200/1000] | Time(avg): 0.29 | Speed: (pics/sec):  2070
Learning rate: 0.00030000 | Curr loss: 0.1610 | Avg loss: 0.8683 | Prec@1(avg) 75.61 % | Prec@5(avg) 92.99 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 210/1000] | Time(avg): 0.28 | Speed: (pics/sec):  2115
Learning rate: 0.00030000 | Curr loss: 0.1387 | Avg loss: 0.8335 | Prec@1(avg) 76.55 % | Prec@5(avg) 93.33 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 220/1000] | Time(avg): 0.28 | Speed: (pics/sec):  2149
Learning rate: 0.00030000 | Curr loss: 0.1880 | Avg loss: 0.8018 | Prec@1(avg) 77.43 % | Prec@5(avg) 93.61 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 230/1000] | Time(avg): 0.28 | Speed: (pics/sec):  2163
Learning rate: 0.00030000 | Curr loss: 0.1033 | Avg loss: 0.7721 | Prec@1(avg) 78.26 % | Prec@5(avg) 93.88 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 240/1000] | Time(avg): 0.27 | Speed: (pics/sec):  2192
Learning rate: 0.00030000 | Curr loss: 0.3300 | Avg loss: 0.7459 | Prec@1(avg) 78.99 % | Prec@5(avg) 94.13 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 250/1000] | Time(avg): 0.27 | Speed: (pics/sec):  2204
Learning rate: 0.00030000 | Curr loss: 0.2238 | Avg loss: 0.7234 | Prec@1(avg) 79.64 % | Prec@5(avg) 94.37 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 260/1000] | Time(avg): 0.27 | Speed: (pics/sec):  2232
Learning rate: 0.00030000 | Curr loss: 0.2250 | Avg loss: 0.7010 | Prec@1(avg) 80.29 % | Prec@5(avg) 94.58 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 270/1000] | Time(avg): 0.27 | Speed: (pics/sec):  2206
Learning rate: 0.00030000 | Curr loss: 0.0836 | Avg loss: 0.6784 | Prec@1(avg) 80.93 % | Prec@5(avg) 94.78 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 280/1000] | Time(avg): 0.27 | Speed: (pics/sec):  2199
Learning rate: 0.00030000 | Curr loss: 0.0925 | Avg loss: 0.6590 | Prec@1(avg) 81.47 % | Prec@5(avg) 94.96 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 290/1000] | Time(avg): 0.27 | Speed: (pics/sec):  2216
Learning rate: 0.00030000 | Curr loss: 0.0612 | Avg loss: 0.6404 | Prec@1(avg) 82.01 % | Prec@5(avg) 95.13 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 300/1000] | Time(avg): 0.27 | Speed: (pics/sec):  2199
Learning rate: 0.00030000 | Curr loss: 0.1431 | Avg loss: 0.6231 | Prec@1(avg) 82.49 % | Prec@5(avg) 95.28 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 310/1000] | Time(avg): 0.27 | Speed: (pics/sec):  2203
Learning rate: 0.00030000 | Curr loss: 0.1194 | Avg loss: 0.6086 | Prec@1(avg) 82.89 % | Prec@5(avg) 95.41 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 320/1000] | Time(avg): 0.27 | Speed: (pics/sec):  2234
Learning rate: 0.00030000 | Curr loss: 0.1629 | Avg loss: 0.5923 | Prec@1(avg) 83.36 % | Prec@5(avg) 95.55 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 330/1000] | Time(avg): 0.27 | Speed: (pics/sec):  2224
Learning rate: 0.00030000 | Curr loss: 0.0859 | Avg loss: 0.5776 | Prec@1(avg) 83.78 % | Prec@5(avg) 95.68 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 340/1000] | Time(avg): 0.27 | Speed: (pics/sec):  2225
Learning rate: 0.00030000 | Curr loss: 0.0673 | Avg loss: 0.5640 | Prec@1(avg) 84.15 % | Prec@5(avg) 95.81 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 350/1000] | Time(avg): 0.27 | Speed: (pics/sec):  2248
Learning rate: 0.00030000 | Curr loss: 0.1358 | Avg loss: 0.5513 | Prec@1(avg) 84.52 % | Prec@5(avg) 95.93 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 360/1000] | Time(avg): 0.27 | Speed: (pics/sec):  2242
Learning rate: 0.00030000 | Curr loss: 0.1047 | Avg loss: 0.5388 | Prec@1(avg) 84.85 % | Prec@5(avg) 96.04 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 370/1000] | Time(avg): 0.27 | Speed: (pics/sec):  2242
Learning rate: 0.00030000 | Curr loss: 0.1600 | Avg loss: 0.5280 | Prec@1(avg) 85.12 % | Prec@5(avg) 96.15 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 380/1000] | Time(avg): 0.27 | Speed: (pics/sec):  2231
Learning rate: 0.00030000 | Curr loss: 0.0496 | Avg loss: 0.5169 | Prec@1(avg) 85.45 % | Prec@5(avg) 96.24 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 390/1000] | Time(avg): 0.27 | Speed: (pics/sec):  2228
Learning rate: 0.00030000 | Curr loss: 0.1650 | Avg loss: 0.5058 | Prec@1(avg) 85.76 % | Prec@5(avg) 96.34 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 400/1000] | Time(avg): 0.27 | Speed: (pics/sec):  2214
Learning rate: 0.00030000 | Curr loss: 0.0510 | Avg loss: 0.4956 | Prec@1(avg) 86.04 % | Prec@5(avg) 96.43 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 410/1000] | Time(avg): 0.28 | Speed: (pics/sec):  2175
Learning rate: 0.00030000 | Curr loss: 0.0675 | Avg loss: 0.4854 | Prec@1(avg) 86.29 % | Prec@5(avg) 96.52 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 420/1000] | Time(avg): 0.27 | Speed: (pics/sec):  2184
Learning rate: 0.00030000 | Curr loss: 0.1045 | Avg loss: 0.4760 | Prec@1(avg) 86.54 % | Prec@5(avg) 96.60 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 430/1000] | Time(avg): 0.27 | Speed: (pics/sec):  2192
Learning rate: 0.00030000 | Curr loss: 0.0570 | Avg loss: 0.4685 | Prec@1(avg) 86.77 % | Prec@5(avg) 96.67 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 440/1000] | Time(avg): 0.27 | Speed: (pics/sec):  2192
Learning rate: 0.00030000 | Curr loss: 0.0610 | Avg loss: 0.4615 | Prec@1(avg) 86.95 % | Prec@5(avg) 96.75 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 450/1000] | Time(avg): 0.27 | Speed: (pics/sec):  2193
Learning rate: 0.00030000 | Curr loss: 0.0380 | Avg loss: 0.4531 | Prec@1(avg) 87.17 % | Prec@5(avg) 96.82 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 460/1000] | Time(avg): 0.27 | Speed: (pics/sec):  2199
Learning rate: 0.00030000 | Curr loss: 0.0956 | Avg loss: 0.4464 | Prec@1(avg) 87.34 % | Prec@5(avg) 96.88 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 470/1000] | Time(avg): 0.27 | Speed: (pics/sec):  2191
Learning rate: 0.00030000 | Curr loss: 0.2199 | Avg loss: 0.4398 | Prec@1(avg) 87.53 % | Prec@5(avg) 96.94 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 480/1000] | Time(avg): 0.27 | Speed: (pics/sec):  2188
Learning rate: 0.00030000 | Curr loss: 0.0534 | Avg loss: 0.4328 | Prec@1(avg) 87.74 % | Prec@5(avg) 97.00 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 490/1000] | Time(avg): 0.27 | Speed: (pics/sec):  2182
Learning rate: 0.00030000 | Curr loss: 0.1562 | Avg loss: 0.4257 | Prec@1(avg) 87.95 % | Prec@5(avg) 97.06 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 500/1000] | Time(avg): 0.28 | Speed: (pics/sec):  2181
Learning rate: 0.00030000 | Curr loss: 0.0628 | Avg loss: 0.4194 | Prec@1(avg) 88.13 % | Prec@5(avg) 97.12 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 510/1000] | Time(avg): 0.27 | Speed: (pics/sec):  2184
Learning rate: 0.00030000 | Curr loss: 0.0763 | Avg loss: 0.4126 | Prec@1(avg) 88.31 % | Prec@5(avg) 97.18 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 520/1000] | Time(avg): 0.27 | Speed: (pics/sec):  2183
Learning rate: 0.00030000 | Curr loss: 0.2811 | Avg loss: 0.4066 | Prec@1(avg) 88.47 % | Prec@5(avg) 97.23 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 530/1000] | Time(avg): 0.27 | Speed: (pics/sec):  2194
Learning rate: 0.00030000 | Curr loss: 0.1187 | Avg loss: 0.4008 | Prec@1(avg) 88.63 % | Prec@5(avg) 97.28 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 540/1000] | Time(avg): 0.27 | Speed: (pics/sec):  2206
Learning rate: 0.00030000 | Curr loss: 0.1432 | Avg loss: 0.3957 | Prec@1(avg) 88.77 % | Prec@5(avg) 97.33 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 550/1000] | Time(avg): 0.27 | Speed: (pics/sec):  2210
Learning rate: 0.00030000 | Curr loss: 0.0807 | Avg loss: 0.3906 | Prec@1(avg) 88.93 % | Prec@5(avg) 97.38 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 560/1000] | Time(avg): 0.27 | Speed: (pics/sec):  2208
Learning rate: 0.00030000 | Curr loss: 0.1900 | Avg loss: 0.3865 | Prec@1(avg) 89.05 % | Prec@5(avg) 97.42 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 570/1000] | Time(avg): 0.27 | Speed: (pics/sec):  2220
Learning rate: 0.00030000 | Curr loss: 0.0734 | Avg loss: 0.3817 | Prec@1(avg) 89.19 % | Prec@5(avg) 97.47 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 580/1000] | Time(avg): 0.27 | Speed: (pics/sec):  2231
Learning rate: 0.00030000 | Curr loss: 0.1313 | Avg loss: 0.3763 | Prec@1(avg) 89.34 % | Prec@5(avg) 97.51 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 590/1000] | Time(avg): 0.27 | Speed: (pics/sec):  2237
Learning rate: 0.00030000 | Curr loss: 0.1679 | Avg loss: 0.3712 | Prec@1(avg) 89.47 % | Prec@5(avg) 97.55 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 600/1000] | Time(avg): 0.27 | Speed: (pics/sec):  2220
Learning rate: 0.00030000 | Curr loss: 0.1809 | Avg loss: 0.3666 | Prec@1(avg) 89.59 % | Prec@5(avg) 97.59 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 610/1000] | Time(avg): 0.27 | Speed: (pics/sec):  2211
Learning rate: 0.00030000 | Curr loss: 0.0148 | Avg loss: 0.3619 | Prec@1(avg) 89.73 % | Prec@5(avg) 97.63 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 620/1000] | Time(avg): 0.27 | Speed: (pics/sec):  2203
Learning rate: 0.00030000 | Curr loss: 0.1368 | Avg loss: 0.3574 | Prec@1(avg) 89.85 % | Prec@5(avg) 97.67 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 630/1000] | Time(avg): 0.28 | Speed: (pics/sec):  2172
Learning rate: 0.00030000 | Curr loss: 0.0457 | Avg loss: 0.3534 | Prec@1(avg) 89.97 % | Prec@5(avg) 97.71 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 640/1000] | Time(avg): 0.27 | Speed: (pics/sec):  2184
Learning rate: 0.00030000 | Curr loss: 0.1060 | Avg loss: 0.3492 | Prec@1(avg) 90.07 % | Prec@5(avg) 97.74 %

Training: Num of GPUs: 1 | Epoch: [ 1/ 1] | [ 650/1000] | Time(avg): 0.27 | Speed: (pics/sec):  2187
Learning rate: 0.00030000 | Curr loss: 0.0273 | Avg loss: 0.3446 | Prec@1(avg) 90.20 % | Prec@5(avg) 97.78 %

